t_sec x_m y_m z_m vx_ms vy_ms vz_ms
17657.3050 -30919854.1891 -36457132.8650 -3200940.8874 -336.0227 -2621.8098 -226.5991
17717.3051 -30939814.3597 -36614203.9176 -3214515.9724 -329.3249 -2613.8972 -225.9042
17777.3050 -30959374.2050 -36770801.1701 -3228049.4499 -322.6784 -2606.0165 -225.2122
17837.3051 -30978536.7789 -36926926.5237 -3241541.4897 -316.0824 -2598.1672 -224.5230
17897.3051 -30997305.0969 -37082581.8621 -3254992.2599 -309.5364 -2590.3492 -223.8365
17957.3051 -31015682.1365 -37237769.0520 -3268401.9274 -303.0397 -2582.5622 -223.1529
18017.3051 -31033670.8382 -37392489.9431 -3281770.6570 -296.5917 -2574.8059 -222.4719
18077.3051 -31051274.1060 -37546746.3682 -3295098.6126 -290.1918 -2567.0800 -221.7937
18137.3051 -31068494.8079 -37700540.1436 -3308385.9561 -283.8394 -2559.3842 -221.1182
18197.3051 -31085335.7767 -37853873.0691 -3321632.8482 -277.5340 -2551.7183 -220.4453
18257.3051 -31101799.8107 -38006746.9285 -3334839.4481 -271.2748 -2544.0819 -219.7751
18317.3050 -31117889.6739 -38159163.4895 -3348005.9134 -265.0615 -2536.4750 -219.1075
18377.3051 -31133608.0969 -38311124.5040 -3361132.4005 -258.8934 -2528.8970 -218.4425
18437.3051 -31148957.7773 -38462631.7082 -3374219.0642 -252.7700 -2521.3479 -217.7801
18497.3051 -31163941.3804 -38613686.8229 -3387266.0580 -246.6907 -2513.8273 -217.1202
18557.3051 -31178561.5396 -38764291.5537 -3400273.5340 -240.6551 -2506.3351 -216.4628
18617.3050 -31192820.8569 -38914447.5909 -3413241.6429 -234.6626 -2498.8708 -215.8079
18677.3051 -31206721.9036 -39064156.6102 -3426170.5342 -228.7127 -2491.4344 -215.1555
18737.3051 -31220267.2207 -39213420.2723 -3439060.3559 -222.8049 -2484.0256 -214.5056
18797.3051 -31233459.3192 -39362240.2235 -3451911.2548 -216.9386 -2476.6440 -213.8581
18857.3051 -31246300.6810 -39510618.0955 -3464723.3763 -211.1136 -2469.2895 -213.2130
18917.3051 -31258793.7589 -39658555.5059 -3477496.8646 -205.3291 -2461.9619 -212.5703
18977.3050 -31270940.9777 -39806054.0582 -3490231.8625 -199.5848 -2454.6609 -211.9300
19037.3051 -31282744.7338 -39953115.3420 -3502928.5118 -193.8803 -2447.3863 -211.2920
19097.3051 -31294207.3964 -40099740.9331 -3515586.9528 -188.2150 -2440.1378 -210.6564
19157.3051 -31305331.3076 -40245932.3937 -3528207.3247 -182.5885 -2432.9152 -210.0231
19217.3051 -31316118.7828 -40391691.2725 -3540789.7656 -177.0004 -2425.7183 -209.3920
19277.3050 -31326572.1113 -40537019.1050 -3553334.4121 -171.4502 -2418.5470 -208.7632
19337.3051 -31336693.5565 -40681917.4136 -3565841.3998 -165.9375 -2411.4008 -208.1367
19397.3051 -31346485.3565 -40826387.7075 -3578310.8633 -160.4620 -2404.2798 -207.5124
19457.3051 -31355949.7243 -40970431.4832 -3590742.9356 -155.0231 -2397.1835 -206.8903
19517.3051 -31365088.8483 -41114050.2244 -3603137.7491 -149.6204 -2390.1119 -206.2705
19577.3051 -31373904.8928 -41257245.4024 -3615495.4346 -144.2537 -2383.0647 -205.6527
19637.3051 -31382399.9981 -41400018.4758 -3627816.1221 -138.9224 -2376.0417 -205.0372
19697.3051 -31390576.2811 -41542370.8910 -3640099.9402 -133.6262 -2369.0428 -204.4238
19757.3051 -31398435.8355 -41684304.0825 -3652347.0167 -128.3647 -2362.0676 -203.8125
19817.3050 -31405980.7322 -41825819.4724 -3664557.4782 -123.1375 -2355.1160 -203.2033
19877.3051 -31413213.0198 -41966918.4711 -3676731.4502 -117.9443 -2348.1878 -202.5961
19937.3051 -31420134.7245 -42107602.4773 -3688869.0572 -112.7847 -2341.2829 -201.9911
19997.3051 -31426747.8511 -42247872.8778 -3700970.4225 -107.6583 -2334.4010 -201.3881
20057.3051 -31433054.3827 -42387731.0482 -3713035.6686 -102.5648 -2327.5418 -200.7871
20117.3051 -31439056.2814 -42527178.3524 -3725064.9169 -97.5038 -2320.7054 -200.1882
20177.3051 -31444755.4883 -42666216.1434 -3737058.2876 -92.4750 -2313.8914 -199.5912
20237.3051 -31450153.9241 -42804845.7628 -3749015.9003 -87.4781 -2307.0996 -198.9962
20297.3051 -31455253.4894 -42943068.5413 -3760937.8731 -82.5126 -2300.3300 -198.4032
20357.3050 -31460056.0648 -43080885.7986 -3772824.3236 -77.5784 -2293.5822 -197.8121
20417.3051 -31464563.5112 -43218298.8436 -3784675.3681 -72.6750 -2286.8562 -197.2230
20477.3050 -31468777.6702 -43355308.9747 -3796491.1221 -67.8021 -2280.1517 -196.6358
20537.3051 -31472700.3644 -43491917.4796 -3808271.7001 -62.9594 -2273.4686 -196.0505
20597.3051 -31476333.3976 -43628125.6356 -3820017.2157 -58.1467 -2266.8067 -195.4670
20657.3051 -31479678.5550 -43763934.7096 -3831727.7816 -53.3635 -2260.1659 -194.8855
20717.3051 -31482737.6037 -43899345.9584 -3843403.5095 -48.6096 -2253.5459 -194.3058
20777.3051 -31485512.2927 -44034360.6286 -3855044.5102 -43.8848 -2246.9466 -193.7279
20837.3051 -31488004.3532 -44168979.9567 -3866650.8936 -39.1887 -2240.3678 -193.1519
20897.3051 -31490215.4991 -44303205.1694 -3878222.7688 -34.5209 -2233.8094 -192.5776
20957.3051 -31492147.4269 -44437037.4836 -3889760.2441 -29.8813 -2227.2711 -192.0052
21017.3050 -31493801.8161 -44570478.1066 -3901263.4265 -25.2696 -2220.7530 -191.4345
